"grp","day"
4,"s,240,o,10,o,15,o,15,o,90,o,60,o,120,o,30,o,60,o,90,w,180,o,30,o,30,o,30,o,60,o,15,w,180,s,185"
4,"s,300,w,180,o,15,w,405,o,15,w,285,s,240"
2,"s,180,o,60,o,15,o,15,o,15,o,5,o,3,o,10,o,5,o,90,o,202,o,15,o,285,o,15,o,105,o,10,o,245,o,30,o,10,o,5,s,120"
2,"s,60,o,90,o,70,o,20,o,240,o,45,o,240,o,20,o,30,o,30,o,10,w,240,o,10,s,335"
2,"s,210,o,30,o,10,o,35,o,15,s,120,o,5,o,10,o,30,o,15,o,3,o,17,o,10,o,10,o,200,o,180,o,165,o,5,o,7,o,123,o,10,o,5,s,225"
4,"s,300,o,60,o,30,o,30,o,30,o,15,o,30,o,15,o,150,o,60,o,60,o,210,o,30,o,45,o,20,o,10,s,345"
2,"s,420,o,10,o,30,o,40,o,120,o,15,o,120,o,15,w,180,o,30,o,120,s,340"
2,"s,240,o,30,o,60,o,30,o,120,o,90,o,15,o,90,o,10,o,90,o,5,o,45,o,10,o,185,o,5,o,10,o,30,o,10,o,125,s,240"
4,"s,180,o,5,o,55,o,60,o,180,o,60,o,60,o,60,o,180,o,5,o,35,o,20,o,60,o,40,o,40,o,10,s,390"
2,"s,420,o,10,o,30,o,45,o,20,o,255,o,20,o,10,o,120,o,10,o,30,o,30,s,200,o,90,s,150"
2,"s,300,w,195,o,15,o,150,o,15,o,45,o,60,w,120,o,45,o,30,o,30,o,135,s,300"
4,"s,120,o,34,o,2,o,24,o,2,c,418,o,2,o,19,o,2,w,120,o,60,o,30,o,30,o,60,o,10,w,90,o,30,o,5,o,17,s,365"
4,"s,270,o,120,o,20,o,10,o,120,o,10,o,10,o,12,o,60,o,10,s,45,o,60,o,15,o,18,o,300,o,15,o,30,o,90,s,225"
4,"s,240,o,20,o,30,o,250,o,45,o,195,o,30,o,30,o,20,o,120,o,70,o,60,o,30,o,10,s,290"
2,"s,180,o,10,o,20,o,15,o,105,o,90,o,15,o,105,s,300,o,60,o,30,o,240,o,15,o,10,o,30,s,215"
2,"s,270,o,60,o,15,o,15,o,10,o,230,o,10,o,140,o,20,o,60,o,15,o,20,w,90,o,30,w,155,o,60,s,240"
2,"s,360,o,15,c,285,o,240,o,15,o,30,o,10,o,90,o,3,o,90,o,3,o,30,s,269"
2,"s,300,o,30,o,20,o,160,o,20,o,30,o,10,o,420,o,10,o,30,o,45,o,15,o,5,o,10,o,15,o,20,s,300"
2,"s,150,o,35,o,10,o,85,o,10,o,250,o,10,o,85,o,20,o,10,o,120,o,5,o,60,o,120,o,60,o,10,o,10,o,210,s,180"
4,"o,270,o,60,s,450,o,30,o,15,o,90,o,120,o,30,o,60,o,315"
2,"s,210,o,60,o,10,o,260,o,15,o,120,o,60,o,180,o,15,o,90,o,10,o,60,w,180,s,170"
4,"s,420,o,60,o,120,w,360,o,60,o,180,w,180,s,60"
2,"o,90,o,15,o,120,s,195,o,10,o,60,o,5,o,30,o,5,o,15,o,2,o,30,o,2,o,10,o,2,o,1,o,1,o,30,o,157,o,10,o,1,o,20,o,25,o,334,o,15,o,5,o,5,o,1,o,10,o,74,o,10,o,150"
2,"s,300,o,45,o,15,o,30,o,5,o,1,o,15,o,30,o,30,o,519,o,30,o,30,o,10,o,15,o,10,o,30,s,325"
2,"s,240,o,180,o,60,o,180,o,60,o,60,o,30,o,30,o,30,o,300,o,30,s,240"
2,"s,300,o,60,o,180,o,30,o,180,o,30,o,60,o,180,o,60,s,360"
4,"s,390,o,60,o,15,o,5,o,180,o,15,o,30,s,150,o,30,o,60,o,5,o,10,o,5,o,320,o,5,o,15,o,55,s,90"
2,"s,360,o,30,o,300,o,15,o,60,o,30,o,20,o,3,o,5,o,300,o,15,s,302"
2,"s,570,o,60,o,15,o,60,o,15,o,120,o,45,o,150,o,45,o,10,o,120,s,230"
2,"s,120,o,60,o,30,o,25,c,185,o,30,o,330,o,30,o,45,o,15,o,1,o,15,o,45,o,89,o,1,w,138,s,281"
2,"s,420,o,35,o,15,o,60,o,60,o,100,o,90,o,50,o,60,o,30,o,30,o,7,o,45,o,138,o,15,o,7,o,10,o,10,o,5,o,3,w,60,o,60,o,70,o,45,s,15"
