race,activities
2,"s,270,o,60,o,15,o,15,o,10,o,230,o,10,o,140,o,20,o,60,o,15,o,20,w,90,o,30,w,155,o,60,s,240"
4,"s,480,o,10,o,30,o,30,o,10,o,120,o,20,o,30,o,30,o,15,o,30,o,10,o,60,o,205,o,10,s,350"
4,"s,420,o,60,o,120,w,360,o,60,o,180,w,180,s,60"
2,"s,300,o,45,o,15,o,30,o,5,o,1,o,15,o,30,o,30,o,519,o,30,o,30,o,10,o,15,o,10,o,30,s,325"
2,"s,240,o,180,o,60,o,180,o,60,o,60,o,30,o,30,o,30,o,300,o,30,s,240"
4,"s,60,o,45,o,15,o,480,o,15,o,60,w,120,o,120,o,45,o,45,w,90,s,345"
2,"s,180,o,3,o,30,o,60,w,180,o,65,o,120,o,202,o,30,o,10,o,20,o,15,o,60,o,5,o,5,o,5,o,30,o,10,o,2,s,408"
4,"s,390,o,60,o,15,o,5,o,180,o,15,o,30,s,150,o,30,o,60,o,5,o,10,o,5,o,320,o,5,o,15,o,55,s,90"
2,"s,570,o,60,o,15,o,60,o,15,o,120,o,45,o,150,o,45,o,10,o,120,s,230"
4,"s,210,o,30,o,30,o,60,o,30,o,120,o,30,o,60,s,120,o,90,o,30,o,60,o,60,o,90,o,30,o,30,s,360"
4,"s,150,o,1,o,59,o,1,o,15,o,2,o,10,o,10,o,232,o,10,o,260,o,180,o,10,o,15,o,40,o,145,o,120,s,180"
2,"s,420,o,35,o,15,o,60,o,60,o,100,o,90,o,50,o,60,o,30,o,30,o,7,o,45,o,138,o,15,o,7,o,10,o,10,o,5,o,3,w,60,o,60,o,70,o,45,s,15"
4,"s,300,o,30,o,120,o,90,o,30,o,30,o,2,o,180,o,2,o,40,o,120,o,15,o,10,o,4,o,120,s,347"
2,"s,330,o,5,o,85,o,5,o,120,o,10,o,30,o,5,o,190,o,10,o,150,o,60,o,20,o,60,o,330,o,30"
4,"s,360,o,15,o,225,o,15,o,20,o,90,o,175,o,20,o,100,o,30,s,390"
2,"s,240,o,60,o,60,o,60,o,120,o,210,o,60,o,150,o,30,o,30,o,60,s,360"
2,"s,480,o,30,o,150,w,180,o,60,o,60,o,240,s,240"
4,"s,120,o,60,o,15,o,15,o,20,c,255,o,37,c,63,o,120,o,20,o,115,o,15,o,15,w,150,o,30,s,390"
4,"s,330,w,140,o,15,o,85,o,15,o,135,o,20,w,100,w,150,w,45,o,45,s,40,s,320"
2,"s,120,o,20,o,30,o,25,o,7,o,2,o,7,o,19,o,25,o,17,o,20,o,20,c,138,o,20,o,5,o,10,o,30,o,150,o,20,o,5,o,30,o,7,o,50,o,30,w,273,o,20,o,5,o,5,o,12,o,30,o,12,o,10,o,10,s,256"
4,"s,300,o,180,o,120,s,60,w,120,o,120,o,240,s,300"
4,"s,180,o,10,o,15,o,10,o,10,c,270,o,30,c,125,o,15,o,25,w,120,o,1,o,30,o,1,o,5,w,30,o,15,o,20,s,528"
2,"s,180,o,120,o,15,o,135,o,60,o,10,o,5,o,5,w,250,o,5,o,10,o,10,o,30,o,10,o,60,o,5,o,60,o,5,o,1,o,15,w,60,o,30,s,359"
4,"s,180,o,15,o,15,w,510,o,60,o,2,o,90,o,2,o,30,o,146,o,60,s,330"
2,"s,30,o,45,o,5,o,580,o,5,o,10,o,3,o,5,o,4,o,33,o,5,o,265,o,5,o,175,s,270"
2,"s,90,o,60,o,20,o,180,o,30,o,150,o,30,o,175,o,20,o,20,o,20,w,90,o,40,o,30,o,65,o,20,o,100,s,300"
2,"s,480,o,20,o,10,o,10,o,140,o,5,c,60,o,5,o,30,o,15,o,125,o,15,o,225,o,10,o,15,o,95,o,60,s,120"
