race,activities
1,"s,120,o,10,o,12,o,5,o,20,o,10,o,2,o,15,c,466,o,15,o,1,o,10,w,60,o,60,o,15,o,1,o,5,o,5,o,10,o,60,o,60,o,15,o,5,o,20,s,438"
1,"s,105,o,1,o,45,o,30,o,5,o,20,o,2,o,15,o,45,o,20,o,2,o,150,o,15,o,15,o,90,o,75,o,30,o,40,o,60,o,20,o,30,o,15,o,10,o,15,o,45,o,60,o,30,o,30,o,30,s,180,o,30,s,180"
2,"s,480,o,2,o,15,o,2,o,120,o,60,o,240,o,3,s,518"
2,"s,240,o,10,o,350,o,15,o,30,o,45,o,25,o,15,o,15,o,30,s,665"
1,"s,240,o,30,o,5,o,15,o,10,o,120,o,15,o,105,o,60,o,120,o,15,o,105,o,15,w,120,c,50,o,30,o,40,o,15,s,15,s,315"
1,"s,120,o,60,o,1,o,30,o,10,c,259,o,30,c,180,o,15,o,30,o,105,o,15,o,105,o,30,o,1,o,45,o,1,o,30,s,373"
1,"s,240,o,10,o,30,o,25,o,20,o,20,o,45,o,210,o,30,o,150,o,20,o,15,o,15,o,15,o,205,o,15,o,15,o,120,o,5,s,235"
1,"s,240,o,240,o,15,o,180,o,225,o,20,o,60,o,60,s,400"
1,"s,75,o,10,o,20,o,20,o,25,o,15,o,20,c,240,o,25,o,10,c,155,o,10,o,20,o,15,o,20,o,5,o,5,o,5,o,5,o,15,o,15,o,20,o,30,o,25,o,30,w,40,o,50,w,35,o,60,s,420"
1,"s,465,o,60,o,60,o,10,o,15,o,60,o,120,w,230,s,420"
1,"s,150,o,15,s,180,o,30,o,315,o,20,o,30,o,15,o,2,s,683"
1,"s,540,o,30,o,120,w,60,o,120,o,120,o,20,o,50,s,380"
1,"s,420,o,120,o,240,o,10,o,10,o,15,o,90,s,535"
4,"s,300,o,60,o,30,o,30,o,120,o,180,o,90,w,330,o,15,s,285"
2,"s,240,o,60,o,20,o,120,o,30,o,20,o,20,o,10,o,5,o,10,o,5,o,15,o,5,o,60,s,120,o,30,o,35,o,5,o,7,o,25,o,90,o,3,o,35,o,5,o,120,o,5,o,120,o,5,o,7,s,208"
